Country,Job Title,Gender,Quantity,Percentage %
Austria,automatic data processing customer liaison adp customer liaison,Male,2,0.035075412136092596
Austria,automatic data processing planner,Female,1,0.017537706068046298
Austria,automatic data processing planner,Male,1,0.017537706068046298
Austria,automatic data processing systems security specialist adp systems security,Male,2,0.035075412136092596
Austria,clinical data specialist,Male,1,0.017537706068046298
Austria,computer or data processing systems consultant,Female,1,0.017537706068046298
Austria,computer or data processing systems consultant,Male,2,0.035075412136092596
Austria,crime data specialist,Male,1,0.017537706068046298
Austria,data administrator,Female,1,0.017537706068046298
Austria,data base design analyst,Female,1,0.017537706068046298
Austria,data base design analyst,Male,1,0.017537706068046298
Austria,data coder operator,Male,1,0.017537706068046298
Austria,data communications software consultant,Female,1,0.017537706068046298
Austria,data communications software consultant,Male,1,0.017537706068046298
Austria,data coordinator,Male,2,0.035075412136092596
Austria,data entry representative,Female,1,0.017537706068046298
Austria,data entry specialist,Female,1,0.017537706068046298
Austria,data keyer,Male,1,0.017537706068046298
Austria,data management associate,Male,1,0.017537706068046298
Austria,data management information technology specialist,Female,1,0.017537706068046298
Austria,data officer,Male,2,0.035075412136092596
Austria,data processing auditor,Female,2,0.035075412136092596
Austria,data processing auditor,Male,1,0.017537706068046298
Austria,data processing systems project planner,Male,1,0.017537706068046298
Austria,data security analyst,Male,2,0.035075412136092596
Austria,data systems manager,Female,1,0.017537706068046298
Austria,data warehouse developer,Male,1,0.017537706068046298
Austria,data warehousing engineer,Female,2,0.035075412136092596
Austria,data warehousing engineer,Male,3,0.0526131182041389
Austria,data warehousing manager,Female,1,0.017537706068046298
Austria,database administration associate,Male,1,0.017537706068046298
Austria,database administration manager,Male,1,0.017537706068046298
Austria,database architect,Male,1,0.017537706068046298
Austria,database coordinator,Male,1,0.017537706068046298
Austria,database design analyst,Male,1,0.017537706068046298
Austria,database developer,Female,1,0.017537706068046298
Austria,database development and administration project manager,Female,1,0.017537706068046298
Austria,database engineer,Female,1,0.017537706068046298
Austria,database engineer,Male,1,0.017537706068046298
Austria,database manager,Female,1,0.017537706068046298
Austria,database marketing analyst,Male,1,0.017537706068046298
Austria,database modeler,Female,1,0.017537706068046298
Austria,database security administrator,Female,1,0.017537706068046298
Austria,database security administrator,Male,2,0.035075412136092596
Austria,database security expert,Male,1,0.017537706068046298
Austria,database software technician,Male,2,0.035075412136092596
Austria,databases computer consultant,Male,1,0.017537706068046298
Austria,director of data operations,Male,1,0.017537706068046298
Austria,electronic data processing auditor edp auditor,Male,1,0.017537706068046298
Austria,field artillery automated tactical data system specialist,Female,1,0.017537706068046298
Austria,geographic information systems data administrator gis data administrator,Male,1,0.017537706068046298
Austria,geographic information systems data manager gis data manager,Male,1,0.017537706068046298
Austria,geographic information systems data specialist gis data specialist,Male,1,0.017537706068046298
Austria,geographic information systems database administrator gis database administrator,Female,2,0.035075412136092596
Austria,geographic information systems database administrator gis database administrator,Male,2,0.035075412136092596
Austria,gps field data collector global positioning system field data collector,Male,1,0.017537706068046298
Austria,internet database specialist,Male,1,0.017537706068046298
Austria,maintenance data analyst,Female,1,0.017537706068046298
Austria,naval tactical data systemcombat information center watch officer general,Female,1,0.017537706068046298
Austria,naval tactical data systemcombat information center watch officer general,Male,1,0.017537706068046298
Belgium,automatic data processing customer liaison adp customer liaison,Male,1,0.017537706068046298
Belgium,automatic data processing planner,Male,2,0.035075412136092596
Belgium,automatic data processing planner adp planner,Male,1,0.017537706068046298
Belgium,automatic data processing systems security specialist adp systems security,Male,2,0.035075412136092596
Belgium,clinical data associate,Female,2,0.035075412136092596
Belgium,clinical data associate,Male,1,0.017537706068046298
Belgium,clinical data coordinator,Male,1,0.017537706068046298
Belgium,crime data specialist,Female,1,0.017537706068046298
Belgium,data administrator,Female,1,0.017537706068046298
Belgium,data administrator,Male,2,0.035075412136092596
Belgium,data architect,Female,1,0.017537706068046298
Belgium,data architect,Male,2,0.035075412136092596
Belgium,data base design analyst,Male,1,0.017537706068046298
Belgium,data capture specialist,Male,1,0.017537706068046298
Belgium,data collector,Female,1,0.017537706068046298
Belgium,data communications analyst,Male,1,0.017537706068046298
Belgium,data coordinator,Male,1,0.017537706068046298
Belgium,data entry associate,Female,1,0.017537706068046298
Belgium,data entry representative,Male,1,0.017537706068046298
Belgium,data entry specialist,Male,1,0.017537706068046298
Belgium,data management associate,Female,1,0.017537706068046298
Belgium,data management information technology specialist,Female,1,0.017537706068046298
Belgium,data management information technology specialist,Male,1,0.017537706068046298
Belgium,data manager,Male,1,0.017537706068046298
Belgium,data miner,Female,1,0.017537706068046298
Belgium,data officer,Female,2,0.035075412136092596
Belgium,data officer,Male,2,0.035075412136092596
Belgium,data processing consultant,Female,1,0.017537706068046298
Belgium,data processing manager,Female,1,0.017537706068046298
Belgium,data processing systems analyst,Female,1,0.017537706068046298
Belgium,data processing systems analyst,Male,1,0.017537706068046298
Belgium,data processing systems project planner,Male,2,0.035075412136092596
Belgium,data recovery planner,Male,1,0.017537706068046298
Belgium,data scientist,Female,2,0.035075412136092596
Belgium,data scientist,Male,2,0.035075412136092596
Belgium,data security administrator,Female,2,0.035075412136092596
Belgium,data security administrator,Male,1,0.017537706068046298
Belgium,data security analyst,Male,2,0.035075412136092596
Belgium,data storage specialist,Male,1,0.017537706068046298
Belgium,data systems manager,Female,1,0.017537706068046298
Belgium,data warehouse analyst,Female,1,0.017537706068046298
Belgium,data warehouse developer,Male,1,0.017537706068046298
Belgium,data warehouse specialist,Female,2,0.035075412136092596
Belgium,data warehousing manager,Female,2,0.035075412136092596
Belgium,database administration associate,Male,2,0.035075412136092596
Belgium,database architect,Male,1,0.017537706068046298
Belgium,database consultant,Female,1,0.017537706068046298
Belgium,database consultant,Male,1,0.017537706068046298
Belgium,database coordinator,Male,1,0.017537706068046298
Belgium,database design analyst,Male,1,0.017537706068046298
Belgium,database designer,Male,2,0.035075412136092596
Belgium,database development and administration project manager,Male,1,0.017537706068046298
Belgium,database engineer,Female,1,0.017537706068046298
Belgium,database engineer,Male,2,0.035075412136092596
Belgium,database management system specialist dbms specialist,Female,1,0.017537706068046298
Belgium,database management system specialist dbms specialist,Male,1,0.017537706068046298
Belgium,database manager,Female,2,0.035075412136092596
Belgium,database manager,Male,1,0.017537706068046298
Belgium,database marketing analyst,Female,2,0.035075412136092596
Belgium,database security administrator,Male,1,0.017537706068046298
Belgium,database software technician,Female,1,0.017537706068046298
Belgium,database tester,Female,1,0.017537706068046298
Belgium,database tester,Male,1,0.017537706068046298
Belgium,director of data operations,Female,1,0.017537706068046298
Belgium,director of data operations,Male,2,0.035075412136092596
Belgium,electronic data processing auditor edp auditor,Male,1,0.017537706068046298
Belgium,field artillery automated tactical data system specialist,Male,1,0.017537706068046298
Belgium,flight data technician,Female,1,0.017537706068046298
Belgium,geographic information systems data manager gis data manager,Female,1,0.017537706068046298
Belgium,geographic information systems data manager gis data manager,Male,2,0.035075412136092596
Belgium,geographic information systems data specialist gis data specialist,Male,2,0.035075412136092596
Belgium,head of information systems and data processing,Male,1,0.017537706068046298
Belgium,health data analyst,Male,3,0.0526131182041389
Belgium,log data technician,Male,1,0.017537706068046298
Belgium,marketing database analyst,Male,1,0.017537706068046298
Belgium,medical data analyst,Male,1,0.017537706068046298
Belgium,oracle database administrator oracle dba,Female,1,0.017537706068046298
Belgium,reference data expert,Male,1,0.017537706068046298
Belgium,sql database administrator,Male,1,0.017537706068046298
Bulgaria,automatic data processing planner,Female,1,0.017537706068046298
Bulgaria,automatic data processing planner adp planner,Male,1,0.017537706068046298
Bulgaria,business database analyst,Male,1,0.017537706068046298
Bulgaria,clinical data management associate director,Male,1,0.017537706068046298
Bulgaria,clinical data manager,Male,1,0.017537706068046298
Bulgaria,computer or data processing systems consultant,Male,1,0.017537706068046298
Bulgaria,data abstractor,Female,1,0.017537706068046298
Bulgaria,data administrator,Female,1,0.017537706068046298
Bulgaria,data administrator,Male,1,0.017537706068046298
Bulgaria,data architect,Female,2,0.035075412136092596
Bulgaria,data base design analyst,Male,1,0.017537706068046298
Bulgaria,data center manager,Male,1,0.017537706068046298
Bulgaria,data center operator,Male,1,0.017537706068046298
Bulgaria,data communications analyst,Female,1,0.017537706068046298
Bulgaria,data compiler,Female,1,0.017537706068046298
Bulgaria,data control assistant,Male,1,0.017537706068046298
