uuid,age,dem_has_children,gender,dem_education_level,dem_full_time_job,normalized_job_code,country_code,question_bbi_2016wave4_basicincome_argumentsagainst,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_awareness
0001afe0-da16-0133-9d54-0a81e8b09a82,31 years old,nO,male,high,yes,7932d4705d002b47789c11edfaed685e,NL,Foreigners might come to my country and take advantage of the benefit,It reduces bureaucracy and administrative expenses,I know something about it
00073240-d995-0133-f7e1-0a81e8b09a82,35 years old,NO,male,medium,no,,HR,None of the above,None of the above,I have never heard of it
0007b2d0-daf3-0133-c5f0-0a81e8b09a82,1988,YES,FeMale,medium,yes,e7b3e1c6a32c7247cd4857e4c3574165,DE,It might encourage people to stop working | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,I have heard just a little about it
00199e00-d8c3-0133-c6b2-0a81e8b09a82,2000,NO,Male,low,no,,IT,None of the above,None of the above,I have never heard of it
0028cc20-dcc4-0133-f408-0a81e8b09a82,1988,YES,female,high,no,,FR,It is against the principle of linking merit and reward | It might encourage people to stop working,None of the above,I know something about it
002b2140-da48-0133-58d3-0a81e8b09a82,41 years old,NO,Male,high,yes,04c82eae29e1c4a30eac0710b74ab276,SE,It is against the principle of linking merit and reward | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,None of the above,I have heard just a little about it
003409e0-db2a-0133-cbe7-0a81e8b09a82,46 years old,yES,FeMale,medium,no,,NL,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working,It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs,I have never heard of it
0035b420-d95a-0133-5d4f-0a81e8b09a82,59 years old,nO,male,medium,yes,3161063d378eecc4581c5cdee46a2a6c,ES,Only the people who need it most should get something from the state,It reduces anxiety about financing basic needs,I understand it fully
00415000-dbdb-0133-31c4-0a81e8b09a82,43 years old,yES,female,medium,no,,GB,None of the above,None of the above,I have never heard of it
0042eb40-d943-0133-c7f4-0a81e8b09a82,37 years old,YES,Male,medium,yes,e2f68bf748aea2c7d2254550c0c92b23,BG,It might encourage people to stop working,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,I understand it fully
004406e0-dcb3-0133-995f-0a81e8b09a82,35 years old,NO,female,medium,yes,1f8576bdffa64f492405d02b842c41a6,ES,Foreigners might come to my country and take advantage of the benefit,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering",I have heard just a little about it
005b41d0-d991-0133-5da5-0a81e8b09a82,1991,NO,male,high,yes,3833bd699e7afe4665b595f282da0387,ES,Only the people who need it most should get something from the state,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",I understand it fully
005f1e70-d8fc-0133-bb5a-0a81e8b09a82,50 years old,yES,female,high,no,,FR,It is impossible to finance,"It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility",I know something about it
007f68a0-d8bd-0133-0ade-0a81e8b09a82,52 years old,YES,male,high,yes,847165cfda6b1dc82ae22b967da8af2f,FI,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state | It is against the principle of linking merit and reward,"It increases solidarity, because it is funded by everyone | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering | It creates more equality of opportunity | It reduces anxiety about financing basic needs",I understand it fully
