Unnamed: 0_x,uuid,age,age_group,gender,dem_has_children,country,country_code,Unnamed: 0_y,rural,Unnamed: 0_x,question_bbi_2016wave4_basicincome_awareness,question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_effect,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst,dem_education_level,dem_full_time_job,normalized_job_code,Unnamed: 0_y,job_name
0,f6e7ee00-deac-0133-4de8-0a81e8b09a82,61 years old,40_65,Male,no,Austria,AT,0,countryside,0,I know something about it,I would not vote,None of the above,None of the above,None of the above,no,no,,0,
1,54f0f1c0-dda1-0133-a559-0a81e8b09a82,57 years old,40_65,Male,yes,Austria,AT,1,urban,1,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working,high,yes,861a9b9151e11362eb3c77ca914172d0,1,automatic data processing planner
2,83127080-da3d-0133-c74f-0a81e8b09a82,32 years old,26_39,Male,no,Austria,AT,2,city,2,I have heard just a little about it,I would not vote,‰Û_ gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,,no,,0,
3,15626d40-db13-0133-ea5c-0a81e8b09a82,45 years old,40_65,Male,yes,Austria,AT,3,Country,3,I have heard just a little about it,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,None of the above,high,yes,049a3f3a2b5f85cb2971ba77ad66e10c,2,data coordinator
4,24954a70-db98-0133-4a64-0a81e8b09a82,41 years old,40_65,Female,yes,Austria,AT,4,city,4,I have heard just a little about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,high,yes,f4b2fb1aa40f661488e2782b6d57ad2f,3,database developer
5,28583060-dbe2-0133-ff9c-0a81e8b09a82,1990,26_39,Female,no,Austria,AT,5,countryside,5,I understand it fully,I would vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward,high,yes,27af8700f5577cec835acee2cb90a2ff,4,data entry specialist
6,b50dbb80-da53-0133-8956-0a81e8b09a82,1990,26_39,Female,no,Austria,AT,6,urban,6,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state,medium,no,,0,
7,dd743bb0-d9a5-0133-53b2-0a81e8b09a82,47 years old,40_65,Male,no,Austria,AT,7,urban,7,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state,medium,yes,c1b670eba9ccb65e7c99f7da116d5b9c,5,database architect
8,4fde2370-da48-0133-3a42-0a81e8b09a82,34 years old,26_39,Female,no,Austria,AT,8,city,8,I have heard just a little about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,medium,yes,d71c4164c99a5f9bca773e755a72f40f,6,geographic information systems database administrator gis database administrator
9,9949c4c0-da5f-0133-c832-0a81e8b09a82,1994,juvenile,Female,yes,Austria,AT,9,urban,9,I understand it fully,I would vote for it,‰Û_ do more volunteering work,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,no,no,,0,
10,226cf850-db28-0133-c51a-0a81e8b09a82,49 years old,40_65,Male,no,Austria,AT,10,urban,10,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state,high,yes,2ee80cf30e2483dfe0947adc0428f8c5,7,crime data specialist
11,69f1f400-dc5f-0133-ad9b-0a81e8b09a82,58 years old,40_65,Male,yes,Austria,AT,11,city,11,I know something about it,I would probably vote for it,‰Û_ stop working,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working,medium,no,,0,
12,2351fbe0-de4c-0133-0d58-0a81e8b09a82,1991,14_25,Female,no,Austria,AT,12,urban,12,I have never heard of it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,low,yes,897ef18a9321616495831a4b4b0c1bb2,8,data communications software consultant
13,0f286c80-dd77-0133-7803-0a81e8b09a82,40 years old,40_65,Male,yes,Austria,AT,13,rural,13,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,medium,no,,0,
14,fe54f360-db27-0133-c444-0a81e8b09a82,37 years old,26_39,Male,no,Austria,AT,14,Country,14,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,medium,no,,0,
15,960b1ce0-db01-0133-528c-0a81e8b09a82,48 years old,40_65,Male,yes,Austria,AT,15,city,15,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,medium,yes,a003702c0cea282e17967772dd83de5e,9,data security analyst
16,d7912480-da41-0133-5bc1-0a81e8b09a82,31 years old,26_39,Male,yes,Austria,AT,16,rural,16,I know something about it,I would vote against it,‰Û_ stop working,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,low,no,,0,
17,d468c670-da40-0133-de39-0a81e8b09a82,1990,26_39,Female,no,Austria,AT,17,Non-Rural,17,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,high,no,,0,
18,76767d10-dd6c-0133-f56d-0a81e8b09a82,1999,14_25,Female,no,Austria,AT,18,city,18,I have never heard of it,I would probably vote against it,‰Û_ gain additional skills,It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,low,no,,0,
19,a96ed910-de55-0133-2582-0a81e8b09a82,34 years old,26_39,Male,yes,Austria,AT,19,rural,19,I have heard just a little about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,medium,yes,04c82eae29e1c4a30eac0710b74ab276,10,database marketing analyst
20,68eace50-db46-0133-97f7-0a81e8b09a82,1989,26_39,Male,yes,Austria,AT,20,city,20,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,low,yes,fcaf4aac737e53ad24b9f32f08b8740f,11,computer or data processing systems consultant
21,aa342b50-dcc4-0133-f797-0a81e8b09a82,40 years old,40_65,Male,yes,Austria,AT,21,city,21,I understand it fully,I would probably vote against it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,medium,yes,d71c4164c99a5f9bca773e755a72f40f,6,geographic information systems database administrator gis database administrator
22,638a8b80-da45-0133-e8e1-0a81e8b09a82,2001,14_25,Female,no,Austria,AT,22,urban,22,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance,no,no,,0,
